Server,UserID,ATINTradeID,ATINOrderID,OrderID,ExchangeOrderNo,ExchangeTradeID,OrderTime,ExchangeOrderTime,ExchangeTradeTime,Exchange,SecurityID,Symbol,Expiry Date,SecurityType,OptionType,Side,OrderType,Quantity,PendingQuantity,Price,StrikePrice,ClientID,ReferenceText,ManagerID,MemberID,StrategyID,CTCLID,ProductType,OpenClose,Multiplier,Pancard,TerminalInfo,AlgoID,AlgoCategory,ParticipantID,Amount,Id
Default,M13,46,53,40,0HPYSW051,79098,20190513-11:15:23:1557,20190513-11:15:51.397,20190513-11:15:51.402,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7515,0,M13,Spinmt:19042,M13,123,0,123,CCE,NONE,10,,,,0,,75150,M13TTSIM:AM13CL CLX00220920
Default,M13,49,58,42,0HPYSW056,79119,20190513-11:15:23:1557,20190513-11:15:51.760,20190513-11:15:52.334,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7432,0,M13,Spinmt:19044,M13,123,0,123,CCE,NONE,10,,,,0,,-74320,M13TTSIM:AM13CL CLV00220921
Default,M13,50,59,43,0HPYSW057,79128,20190513-11:15:24:1557,26324,20190513-11:15:52.421,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7515,0,M13,Spinmt:19044,M13,123,0,123,CCE,NONE,10,,,,0,,75150,M13TTSIM:AM13CL CLX00220920
Default,M13,72,61,44,0HPYSW059,90877,20190513-11:22:11:1557,20190513-11:15:53.533,20190513-11:22:43.434,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7409,0,M13,Spinmt:19045,M13,123,0,123,CCE,NONE,10,,,,0,,-74090,M13TTSIM:AM13CL CLV00220921
Default,M13,74,85,45,0HPYSW083,90898,20190513-11:22:15:1557,20190513-11:22:43.534,20190513-11:22:43.534,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7491,0,M13,Spinmt:19045,M13,123,0,123,CCE,NONE,10,,,,0,,74910,M13TTSIM:AM13CL CLX00220920
Default,M13,77,86,46,0HPYSW084,91241,20190513-11:22:17:1557,20190513-11:22:45.477,20190513-11:22:51.435,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7408,0,M13,Spinmt:19046,M13,123,0,123,CCE,NONE,10,,,,0,,-74080,M13TTSIM:AM13CL CLV00220921
Default,M13,78,89,47,0HPYSW087,91250,20190513-11:22:23:1557,20190513-11:22:51.531,20190513-11:22:51.531,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7490,0,M13,Spinmt:19046,M13,123,0,123,CCE,NONE,10,,,,0,,74900,M13TTSIM:AM13CL CLX00220920
Default,M13,92,92,48,0HPYSW090,92669,20190513-11:23:14:1557,20190513-11:22:52.462,20190513-11:23:45.467,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7412,0,M13,Spinmt:19047,M13,123,0,123,CCE,NONE,10,,,,0,,-74120,M13TTSIM:AM13CL CLV00220921
Default,M13,94,105,49,0HPYSW103,92676,20190513-11:23:17:1557,26797,20190513-11:23:45.601,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7494,0,M13,Spinmt:19047,M13,123,0,123,CCE,NONE,10,,,,0,,74940,M13TTSIM:AM13CL CLX00220920
Default,M13,96,106,50,0HPYSW104,93129,20190513-11:23:30:1557,20190513-11:23:47.467,20190513-11:24:06.461,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,0,7411,0,M13,Spinmt:19048,M13,123,0,123,CCE,NONE,10,,,,0,,-74110,M13TTSIM:AM13CL CLV00220921
